period,item_id,display_order,level,unit,item,value
2025,NT_IS_SPECIAL_SALES_TAX,530,2,VNĐ,  - Thuế tiêu thụ đặc biệt,0.0
2025,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0
2025,NT_IS_MERCHANDISE_GOODS_SOLD,533,2,VNĐ,  - Giá vốn hàng hóa đã bán,0.0
2025,NT_IS_FINISHED_GOODS_SOLD,534,2,VNĐ,  - Giá vốn thành phẩm đã bán,9899887194081.0
2025,NT_IS_OTHER_SERVICES_PROVIDED,535,2,VNĐ,  - Giá vốn của dịch vụ cung cấp,115167434673.0
2025,NT_IS_REAL_ESTATE_SERVICES_PROVIDED,536,2,VNĐ,"  - Giá trị còn lại, chi phí nhượng bán, Thanh lý BĐS đầu tư đã bán",0.0
2025,NT_IS_TRADE_EXPENSES_OF_INVESTED_PROPERTIES,537,2,VNĐ,  - Chi phí kinh doanh BĐS đầu tư,0.0
2025,NT_IS_INVENTORIES_DEFICIENCIES,538,2,VNĐ,"  - Hao hụt, mất mát hàng tồn kho",0.0
2025,NT_IS_EXPENSES_IN_EXCESS_OF_NORMAL_VALUE,539,2,VNĐ,  - Các khoản chi phí vượt mức bình thường,0.0
2025,NT_IS_PROVREVERSAL_OF_PROVISION_THE_DECLINE_IN_VALUE_OF_INVENTORY,540,2,VNĐ,  - Dự phòng,-34346107416.0
2025,NT_IS_FINANCIAL_INCOME,541,1,VNĐ,Doanh thu tài chính,360621782943.0
2025,NT_IS_INTEREST_INCOME_ON_LOANS_AND_DEPOSITS_GRANTED,542,2,VNĐ,"  - Lãi tiền gửi, tiền cho vay",127918359182.0
2025,NT_IS_GAIN_ON_DISPOSAL_OF_SECURITIES,543,2,VNĐ,"  - Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu",0.0
2025,NT_IS_DIVIDENDS_INCOME,544,2,VNĐ,"  - Cổ tức, lợi nhuận được chia",1107121800.0
2025,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0
2025,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,215610761993.0
2025,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0
2025,NT_IS_GAINS_FROM_SALE_OF_DEFERRED_PAYMENTS_GOODS,548,2,VNĐ,  - Lãi bán hàng trả chậm,0.0
2025,NT_IS_FINANCIAL_EXPENSES,563,1,VNĐ,Chi phí tài chính,108810853761.0
2025,NT_IS_INTEREST_EXPENSES_ON_LOANS,564,2,VNĐ,  - Lãi tiền vay,54042653204.0
2025,NT_IS_PAYMENTS_DISCOUNT_GAINS_FROM_SALE_OF_DEFERRED_PAYMENTS_GOODS,565,2,VNĐ,"  - Chiết khấu thanh toán, lãi bán hàng trả chậm",0.0
2025,NT_IS_LOSS_FROM_DISPOSAL_OF_SHORTTERM_OR_LONGTERM_INVESTMENTS,566,2,VNĐ,"  - Lỗ do thanh lý các khoản đầu tư ngắn hạn, dài hạn",9162577841.0
2025,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0
2025,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,74945996622.0
2025,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,0.0
2025,NT_IS_PROVS_FOR_REDUCTION_IN_PRICE_OF_SHORTTERM_OR_LONGTERM_INVESTMENTS,570,2,VNĐ,"  - Dự phòng giảm giá các khoản đầu tư ngắn hạn, dài hạn",-31467761045.0
2025,NT_IS_FINANCIAL_EXPENSES_OTHERS,571,2,VNĐ,  - Chi phí tài chính khác,2127387139.0
2025,NT_IS_RAW_MATERIALS,573,2,VNĐ,"  - Chi phí nguyên liệu, vật liệu",7563990615486.0
2025,NT_IS_OUTSIDE_SERVICE_EXPENSES,576,2,VNĐ,  - Chi phí dịch vụ mua ngoài,791844528441.0
2025,NT_IS_OTHER_CASH_EXPENSES,577,2,VNĐ,  - Chi phí khác bằng tiền,290000838766.0
2024,NT_BS_CASH_IN_TRANSIT,84,2,VNĐ,  - Tiền đang chuyển,0.0
2024,NT_BS_CASH_AND_CASH_EQUIVALENTS,87,2,VNĐ,  - Tiền và tương đương tiền,570012125911.0
2024,NT_BS_SHORTTERM_INVESTMENTS,112,2,VNĐ,  - Đầu tư tài chính NH,2340406525686.0
2024,NT_BS_OTHER_SHORTTERM_INVESTMENTS,118,2,VNĐ,  - Đầu tư NH khác,0.0
2024,NT_BS_OTHER_RECEIVABLES,147,2,VNĐ,  - Phải thu ngắn hạn khác,42152978245.0
2024,NT_BS_OTHER_LONGTERM_INVESTMENTS,153,2,VNĐ,  - Đầu tư dài hạn khác,0.0
2024,NT_BS_INVESTMENT_IN_SECURITIES,154,2,VNĐ,  - Đầu tư cổ phiếu,0.0
2024,NT_BS_INVESTMENT_IN_BOND,155,2,VNĐ,  - Đầu tư trái phiếu,0.0
2024,NT_BS_LONGTERM_LOANS,157,2,VNĐ,  - Cho vay dài hạn,0.0
2024,NT_BS_RECEIVABLE_FROM_EMPLOYEES,263,2,VNĐ,  - Phải thu người lao động,0.0
2024,NT_BS_OTHER_LONGTERM_RECEIVABLES,268,1,VNĐ,Phải thu dài hạn khác,0.0
2024,NT_BS_LOANS_WITHOUT_INTEREST,271,2,VNĐ,  - Cho vay không có lãi,0.0
2024,NT_BS_TANGIBLE_FIXED_ASSETS_HISTORICAL_COST,282,1,VNĐ,Nguyên giá TSCĐHH,5359639698567.0
2024,NT_BS_DECREASES,285,2,VNĐ,  - Giảm trong kỳ,-23853335899.0
2024,NT_BS_TANGIBLE_FIXED_ASSETS_ACCUMULATED_DEPRECIATION,286,1,VNĐ,Hao mòn TSCĐHH,2415639601303.0
2024,NT_BS_TANGIBLE_FIXED_ASSETS_ACCUMULATED_DEPRECIATION_DECREASES,289,2,VNĐ,  - Giảm trong kỳ,-13887143510.0
2024,NT_BS_FINANCE_LEASE_ASSETS_HISTORICAL_COST,290,1,VNĐ,Nguyên giá TSCĐ TTC,0.0
2024,NT_BS_FINANCE_LEASE_ASSETS_HISTORICAL_COST_DECREASES,293,2,VNĐ,  - Giảm trong kỳ,0.0
2024,NT_BS_FINANCE_LEASE_ASSETS_ACCUMULATED_DEPRECIATION,294,1,VNĐ,Hao mòn TSCĐ TTC,0.0
2024,NT_BS_FINANCE_LEASE_ASSETS_ACCUMULATED_DEPRECIATION_DECREASES,297,2,VNĐ,  - Giảm trong kỳ,0.0
2024,NT_BS_INTANGIBLE_FIXED_ASSETS_HISTORICAL_COST,298,1,VNĐ,Nguyên giá TSCĐVH,555595802285.0
2024,NT_BS_INTANGIBLE_FIXED_ASSETS_HISTORICAL_COST_DECREASES,301,2,VNĐ,  - Giảm trong kỳ,0.0
2024,NT_BS_INTANGIBLE_FIXED_ASSETS_ACCUMULATED_AMORTIZATION,302,1,VNĐ,Hao mòn TSCĐVH,84481749712.0
2024,NT_BS_INTANGIBLE_FIXED_ASSETS_ACCUMULATED_AMORTIZATION_DECREASES,305,2,VNĐ,  - Giảm trong kỳ,0.0
2024,NT_BS_SHORTTERM_LOANS_AND_LIABILITIES,306,1,VNĐ,Vay và nợ ngắn hạn,2277106532564.0
2024,NT_BS_SHORTTERM_LOANS,307,2,VNĐ,  - Vay ngắn hạn,2277106532564.0
2024,NT_BS_OTHER_PAY,319,1,VNĐ,Phải trả phải nộp khác,94662500960.0
2024,NT_BS_TRADE_UNION_FEES,321,2,VNĐ,  - Kinh phí công đoàn,48889937329.0
2024,NT_BS_SOCIAL_INSURANCE,322,2,VNĐ,  - Bảo hiểm xã hội,0.0
2024,NT_BS_UNEMPLOYMENT_INSURANCE,324,2,VNĐ,  - Bảo hiểm thất nghiệp,0.0
2024,NT_BS_UNREALIZED_REVENUE,329,2,VNĐ,  - Doanh thu chưa thực hiện,0.0
